Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
352,Norman Powell\powelno01,SG,25,TOR,11,2,14.9,1.8,3.8,.476,0.8,2.0,.409,1.0,1.8,.550,.583,0.5,0.7,.750,0.2,1.8,2.0,0.9,0.5,0.1,0.7,1.5,5.0
353,Alex Poythress\poythal01,PF,25,ATL,13,1,15.0,2.0,3.8,.531,0.4,1.1,.357,1.6,2.7,.600,.582,0.6,1.3,.471,1.5,2.2,3.8,0.8,0.2,0.4,0.6,2.4,5.0
354,Zhou Qi\qizh01,PF,23,HOU,1,0,1.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
355,Ivan Rabb\rabbiv01,PF,21,MEM,9,0,6.3,0.9,1.4,.615,0.0,0.1,.000,0.9,1.3,.667,.615,0.3,0.6,.600,0.4,1.7,2.1,0.7,0.1,0.1,0.9,1.3,2.1
356,Julius Randle\randlju01,C,24,NOP,25,5,26.6,6.7,12.2,.549,0.6,1.8,.318,6.1,10.4,.588,.572,4.4,6.0,.722,2.5,6.4,9.0,2.7,0.6,0.6,2.6,3.3,18.3
357,J.J. Redick\redicjj01,SG,34,PHI,25,12,30.5,6.3,14.0,.449,2.8,7.6,.363,3.5,6.4,.550,.547,3.1,3.3,.928,0.3,2.1,2.4,2.9,0.2,0.1,1.5,2.0,18.4
358,Davon Reed\reedda01,SG,23,IND,3,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
359,Josh Richardson\richajo01,SG,25,MIA,23,23,35.0,6.8,16.5,.411,2.7,6.9,.399,4.0,9.7,.419,.493,3.3,4.0,.846,1.0,3.0,4.0,3.3,1.3,0.6,2.2,3.3,19.7
360,Malachi Richardson\richama01,SG,23,TOR,12,0,5.7,0.4,1.5,.278,0.3,1.3,.267,0.1,0.3,.333,.389,0.2,0.3,.667,0.1,0.8,0.8,0.0,0.1,0.0,0.6,0.7,1.3
361,Austin Rivers\riverau01,SG,26,WAS,24,0,22.3,2.5,6.4,.399,1.1,3.5,.310,1.5,2.9,.507,.484,0.8,1.4,.576,0.3,1.8,2.2,1.6,0.7,0.4,1.3,2.5,7.0
362,Devin Robinson\robinde01,SF,23,WAS,2,0,9.0,2.0,3.5,.571,0.0,0.0,,2.0,3.5,.571,.571,1.0,1.5,.667,1.0,2.0,3.0,0.5,1.0,0.5,0.0,1.0,5.0
363,Duncan Robinson\robindu01,PF,24,MIA,4,0,7.3,0.5,1.5,.333,0.5,1.5,.333,0.0,0.0,,.500,0.0,0.0,,0.0,1.3,1.3,0.0,0.3,0.0,0.0,0.3,1.5
364,Glenn Robinson\robingl02,SF,25,DET,20,13,16.9,1.9,4.6,.413,0.5,1.7,.303,1.4,3.0,.475,.467,1.1,1.3,.846,0.3,1.3,1.6,0.5,0.3,0.3,0.6,1.1,5.4
365,Jerome Robinson\robinje01,SG,21,LAC,8,0,5.0,1.1,2.3,.500,0.6,1.1,.556,0.5,1.1,.444,.639,0.0,0.0,,0.0,0.4,0.4,0.1,0.0,0.0,0.1,0.8,2.9
366,Mitchell Robinson\robinmi01,C,20,NYK,23,12,17.3,2.0,3.2,.635,0.0,0.0,,2.0,3.2,.635,.635,0.7,1.2,.593,2.1,1.8,4.0,0.5,0.7,2.0,0.6,3.3,4.8
367,Rajon Rondo\rondora01,PG,32,LAL,11,2,25.3,3.6,8.0,.455,0.8,1.9,.429,2.8,6.1,.463,.506,0.4,0.7,.500,0.9,3.6,4.5,6.5,1.2,0.0,2.3,2.3,8.5
368,Derrick Rose\rosede01,PG,30,MIN,22,5,29.3,7.0,14.0,.498,1.7,3.5,.487,5.2,10.4,.502,.560,2.8,3.2,.859,0.7,2.5,3.1,4.4,0.5,0.2,1.8,1.2,18.4
